title,description,release_date,tags,rating
Бойцовский клуб,"Обычный клерк, угнетенный своей обыденной жизнью, и торговец, со своим пониманием морали, сталкиваются лицом к лицу в обычной уличной драке. Последующий бой наводит их на мысль, что надо создать клуб для мужчин, которые хотят найти смысл в обычной потасовке... Но только ли для этого?",15.10.2009,"драма, криминал, триллер",8.90/10
Начало,"В мире будущего, где существуют технологии, позволяющие проникать в подсознание спящих людей, выкрадывая их идеи, лучший в своем деле вор должен попытаться совершить то, что до сих пор считалось невозможным – не извлечь идею, а внедрить ее.",14.07.2010,"боевик, триллер, фантастика",9.04/10
Звездные войны: Эпизод 5 - Империя наносит ответный удар,"В Галактике идет война. Имперские войска находят базу повстанцев и уничтожают ее. Друзьям приходится расстаться. Люк Скайуокер летит на практически необитаемую планету Дагоба с дикой растительностью, где встречает мастера Джедаев - Йоду, который обучает его навыкам таинственной Силы. Хан Соло и принцесса Лея прячутся в Заоблачном Городе, но попадают в ловушку, устроенную Дартом Вейдером - правой рукой могущественного Императора. Люк бросает обучение и летит на помощь друзьям...",21.05.1980,"боевик, приключения, фантастика, фэнтези",8.98/10
Матрица,"Он жил своими серыми буднями, он был очень талантливым программистом. Пока однажды не встретил человека, который назвал себя Морфиусом и предложил ему увидеть настоящий мир. Он согласился.Земля, скрытая за толстым слоем облаков, покрытая умными машинами, качающими из людей энергию, дающими в обмен на силу, каждому человеку иллюзию существования привычного реально мира.Он больше не обычный программист, теперь его зовут Нео. Все окружающие уверены в том, что он - избранный. Он в этом сомневается, он пока не верит в свои силы. Пока... ",31.03.1999,"боевик, приключения, триллер, фантастика",9.20/10
Славные парни,"Начинающий молодой гангстер Генри Хилл со своими двумя закадычными друзьями Томми Де Вито и Джими Конвеем, работают на мафию, постепенно поднимаясь вверх по своеобразной служебной лестнице. Через какое-то время Генри, получив уважение и почитание, решает заработать легкие деньги и без одобрения клана начинает заниматься наркобизнесом. Но возмездие неотвратимо настигает его, и чтобы выйти сухим из воды ему надо предать своих друзей...",12.09.1990,"биографический, драма, криминал",8.74/10
Пролетая над гнездом кукушки,"Один бродяга решил отдохнуть за государственный счет и, симулируя безумие, попал в психиатрическую лечебницу. Здесь он решил ввести свои правила жизни пациентов, что вошло в конфликт с официальными порядками в больнице. Этот конфликт привел к тому, что его стали лечить от излишней независимости и непоседливости, в результате чего он действительно стал сумасшедшим. Теперь ему не надо притворяться, чтобы находится здесь.",19.11.1975,драма,9.08/10
Интерстеллар,Земля изживает себя и человечество должно искать для себя новый дом.  Для этих целей команда исследователей держит путь к далеким звездам. ,06.11.2014,"детектив, приключения, фантастика",8.71/10
Семь,"Двое полицейских расследуют дело серийного убийцы, который действует хитро и предельно жестоко, наказывая каждую жертву за один из семи смертных грехов.",22.09.1995,"детектив, драма, криминал, триллер",8.88/10
Эта замечательная жизнь,"Ангел помогает положительному во всех отношениях бизнесмену, который окончательно разочаровался в жизни, справиться с навалившейся на него депрессией, демонстрируя ему, какой бы была жизнь, если бы он никогда не существовал.",07.01.1947,"драма, мелодрама, фэнтези",8.35/10
Семь самураев,"Исторический фильм, действие которого происходит в средневековой Японии, раздираемой гражданской войной. Жители одного селения для своей защиты нанимают семерых самураев, которые сражаются с разбойниками, нападающих на этот городок.",26.04.1954,"боевик, драма, приключения",8.97/10
Молчание ягнят,"Клариссе Стерлинг, молодому агенту ФБР, поручено расследование запутанного дела. Ей нужно раскрыть серийного убийцу, похищающего женщин и жестоко их мучающего. Помочь ей может один из заключенных: доктор психиатрии Ганнибал Лектор, осужденный за убийства и каннибализм. У Клариссы свои вопросы к заключенному, но и у него есть вопросы к неожиданной посетительнице. Сложная и опасная психологическая игра разворачивается между агентом ФБР и убийцей.",14.03.1991,"детектив, драма, криминал, триллер",9.08/10
Спасти рядового Райана,"Вторая Мировая Война. Одна женщина теряет троих своих сыновей, но один - четвертый - остался жив. Генерал Маршал решает найти его и вернуть к матери. Но он находится в очень опасном регионе и, скорее всего, тоже погиб. Однако, 8 человек отправляются на его поиски. Сколько из них доберутся живыми до пункта назначения?Продолжительность: 170 мин. ",24.07.1998,"боевик, военный, драма",8.94/10
Город Бога,"Город Бога - нищий квартал Рио-де-Жанейро. Лучше там не появляться. Взрослые, дети - там каждый живет по закону ""Выстрели первым и у тебя появится шанс выжить"". Мальчики росли в 60-е годы. На их глазах, их старшие братья грабили и убивали. Дети все запомнили. Спустя несколько лет они уже самостоятельно организовывали свои банды и вели свои войны. Они жили насилием, они держали всех в страхе. Оружие, наркотики, пытки и мечты о светлом будущем.",30.08.2002,"драма, криминал, триллер",8.41/10
