,title,description,release_date,tags,rating
152,Телохранитель,"Япония, незадолго до реставрации Мейдзи. Дорога приводит одинокого  самурая без прошлого в маленький городок, терзаемый войной между двумя  правящими кланами. Но вместо того, чтобы послушать местных доходяг и  пройти мимо, он решает навести порядок. После эффектной презентации  своих способностей на нескольких бандитах, он, назвав себя Сандзуро  Кувабатке, начинает переходить из клана в клан, раз за разом все ближе  приближая конфликт к его логическому финалу. И так он, сквозь интриги и  тяготы, неумолимый в своей цели идет до самого конца - каким бы он ни  был для самого самурая. Очередная творческая победа Акиры  Куросавы, подарившая миру типаж сурового и молчаливого чужеземца,  который приходит, чтобы, благодаря своим хитроумию и силе, навести  порядок. История, в дальнейшем послужившая основой для многочисленных  римейков и адаптаций, среди которых наиболее известны ""За пригоршню  долларов"" Серджио Леоне, ""Воин и колдунья"" Джона Бродерика,  ""Герой-одиночка"" Уолтера Хилла и ""Сукияки Вестерн Джанго"" Такаси Миикэ.",25.04.1961,"боевик, приключения",8.50/10
153,Большой побег," Попавшие в плен к фашистам союзники разрабатывают план  побега, участие в котором должны принять несколько сотен военнопленных.",10.08.1963,"военный, драма, исторический, приключения",8.09/10
154,Монти Пайтон и священный Грааль," Король Артур и его рыцари пускаются на малобюджетные поиски  священного Грааля, в процессе путешествия сталкиваясь с множеством странных препятствий.  ",10.05.1975,"комедия, приключения",7.75/10
155,В поисках Немо,"Немо отправился в свой первый учебный день в школе. После уроков они с друзьями решили выплыть из рифов  в открытый океан и столкнулись с самым страшным, с человеком! В поиски Немо, в сторону огромного Сиднея, отправляются его папа и несколько его новых друзей, случайно подхваченных по дороге к городу. ",30.05.2003,"детский, комедия, мультфильм, приключения, семейный",8.60/10
156,Пленницы,"Главный герой находит и похищает человека, который, как он считает, каким-то образом связан с внезапным исчезновением его дочери.",04.10.2013,"детектив, драма, криминал, триллер",8.08/10
157,Ходячий замок,"Юная София проклята ведьмой и вынуждена жить в теле старухи. А когда город эвакуируют и страна оказывается на грани войны, девушка сбегает из дома. И однажды она встречает загадочный ходячий замок колдуна Хаула и демона Кальцифера.Кальцифер прислуживает хозяину, но по условиям договора он не может разглашать условия. Но служба у Хаула ему не доставляет особой радости. Поэтому демон и девушка решает помочь друг другу разрушить злые чары.",05.09.2005,"аниме, мелодрама, мультфильм, приключения, фантастика, фэнтези",8.48/10
158,Расемон,"Древняя Япония. Расследуется дело об убийстве самурая и изнасиловании его жены. У каждого из участников - обвиняемого и свидетелей - собственный взгляд на произошедшее, собственная история, которую каждый из них жаждет рассказать. Четыре различных точки зрения, с разных сторон проливающих свет на произошедшее, одновременно дополняющих и опровергающих друг друга. Остается лишь решить, какая из них - истинная, а какие - ложны.Знаменитая экранизация сразу двух рассказов Рюноскэ Акутагавы, ""В чаще"" и ""Ворота Расемон"", которая открыла кинематографу не только расследование с различных позиций нескольких участников, но и актерские таланты Тосиро Мифунэ и Такаси Симура, а заодно вывела возможности Акиры Куросавы как постановщика и сценариста на новый уровень.",25.08.1950,"драма, криминал",8.00/10
159,Человек-слон,"В основе фильма лежит подлинная история Джозефа Меррика. Он был англичанином, жившим в 19-го веке. Джозеф страдал страшным заболеванием, сильно уродующим его внешность с самой юности. С помощью доктора Фредерика Тревеса, Меррик попытался восстановить достоинство, которое он потерял после того, как годы, «проработал» на шоу уродов.",22.12.1980,"биографический, драма, исторический",8.79/10
160,"В случае убийства набирайте ""М""","Тони Вендис, бывшая звезда большого тенниса, ныне - безработный альфонс, узнав о романе состоятельной жены Марго с писателем Марком Холлидэем, начинает всерьез опасаться за свое безбедное существование. Настолько, что решается на убийство дражайшей жены, для чего тщательно планирует и организовывает будущее преступление. Но ни один из его планов так и не предусмотрел главного - поведения его жены и проницательности ее любовника...",27.10.1954,"криминал, мистика, триллер",8.19/10
161,Китайский квартал,"Частный детектив, расследующий дело о супружеской неверности, оказывается в центре масштабного заговора. ",20.06.1974,"детектив, драма, криминал, триллер",8.45/10
162,Унесенные ветром,"""Унесенные ветром"" - это культовый фильм-эпопея, выпущенный в 1939 году. Режиссером фильма стал Виктор Флеминг, а главные роли исполнили Вивьен Ли и Кларк Гейбл. Фильм рассказывает историю юной богатой девушки Скарлетт О`Хара, которая живет на юге Соединенных Штатов в годы Гражданской войны.""Унесенные ветром"" стал одним из самых коммерчески успешных фильмов в истории кинематографа. Фильм собрал более 400 миллионов долларов в мировом прокате, что сделало его самым прибыльным фильмом до Второй мировой войны. Картина также получила множество наград, включая несколько премий ""Оскар"", в том числе за лучший фильм, лучшую режиссуру, лучший сценарий и лучшую женскую роль.""Унесенные ветром"" являются не только кинематографическим шедевром, но и историческим фильмом, который отражает атмосферу юга США в период Гражданской войны. Фильм также поражает зрителей своей красотой и величием, в том числе благодаря потрясающим пейзажам и костюмам.Несмотря на то, что ""Унесенные ветром"" были выпущены более 80 лет назад, они продолжают оставаться одними из самых популярных и любимых фильмов в истории кинематографа. Они привлекают внимание зрителей своими красивыми и яркими кадрами, а также незабываемыми персонажами. Если вы еще не видели этот фильм, то обязательно посмотрите его, чтобы понять, почему он до сих пор остается одним из самых важных и значимых кинематографических произведений всех времен.",01.05.1940,"военный, драма, мелодрама",8.80/10
163,"Карты, деньги и два ствола","Четыре друга решили преумножить свое состояние игрой в карты с опытным шулером Гарри-Топором. Для этого каждый из них вносит 25000 фунтов, а играть отправляется лучший из них. Но фортуна отворачивается от них и теперь они должны в течение недели отдать громадный долг в полмиллиона, в противном случае, каждый из них будет лишаться по пальцу в день. Не долго думая, они решают ограбить  местных бандитов, которые решают завладеть состоянием местных дельцов строящих бизнес на выращивание и продаже марихуаны...",28.08.1998,"криминал, триллер",8.66/10
164,Тайна в его глазах,"Бенджамин Эспозито 30 лет назад дал слово, что найдет убийц и насильников молодой женщины. Тогда он работал в суде и невольно стал участником той истории. Сейчас пришло время о ней вспомнить.",13.08.2009,"детектив, драма, криминал, мелодрама, триллер",7.73/10
165,Головоломка,Мультфильм расскажет о процессе формирования мыслей в голове маленькой девочки.,17.06.2015,"драма, комедия, мультфильм, приключения, семейный, фэнтези",8.40/10
166,"""V"" значит Вендетта","Фильм рассказывает о Мстителе в маске Гая Фокса (Уивинг), одиноко борющемся с тиранией в альтернативной Англии. Спасая однажды журналистку Иви (Портман), от нападения во время комендантского часа, он в дальнейшем помогает ей разглядеть лживость правительства. Пройдя через заключение,  Иви получает ценный опыт для дальнейшей жизни ""без страха"" и помогает V исполнить задуманное и призвать население к восстанию режима",15.03.2006,"боевик, кинокомикс, триллер, фантастика",8.46/10
167,"Три билборда на границе Эббинга, Миссури","Отчаявшаяся женщина, после убийства дочери, решает объявить войну местной полиции, которая всячески препятствует расследованию этого дела.",01.01.2018,криминал,8.70/10
168,Бешеный бык,"Когда Джейк ЛаМотт вступил на ринг и победил своего оппонента, он стал боксером-призером. Но когда он появлялся в своем доме и со своими друзьями, то он не переставал быть борцом. Он был вспыльчив, словно бомба замедленного действия, он был готов уйти в любой момент. Хотя ЛаМотт хочел любить свою семью, что-то всегда казалось не тем, что-то между ними не проскакивало. Возможно, причиной неудачной семейной жизни были  приступы паранойи и ревности. Такой ярости, которая могла сделать его чемпионом, но в реальной жизни ничего хорошего не предвещала.",05.02.1981,"биографический, драма, спорт",8.70/10
169,На игле,"Сумасшедший день Марка Рентона, жителя Эдинбурга, начался со срочного поиска дозы. А вслед за всем этим последовали обычные склоки с семьей, друзьями, подружкой... А Марку нужно было всего лишь немного кокаина, или чего-нибудь еще.",23.12.1996,"драма, комедия, криминал",8.34/10
170,Мост через реку Квай,"Уладив «разногласия» с командиром японского лагеря для военнопленных, британский полковник соглашается на то, чтобы его люди приступили к постройке железнодорожного моста для своих тюремщиков, который, очевидно, должен быть уничтожен Союзниками...",02.10.1957,"военный, драма, приключения",8.43/10
171,Клаус,"В небольшую заснеженную и холодную деревушку с очень недружелюбными жителями отправляют молодого почтальона Джеспера, который должен выполнять там рутинную и однообразную работу. Но когда он находит общий язык с мастером Клаусом, их игрушки растапливают вековую вражду и дарят праздник миллионам детей.",08.11.2019,"комедия, мультфильм, приключения, семейный",9.18/10
172,"Поймай меня, если сможешь","Фрэнк (ДиКаприо) самый искусный мошенник из всех. Он может мгновенно изменить свою внешность и сделать новые документы.Его преследует агент ФБР - мастер своего дела, но Френк всегда на шаг впереди него. Чем же закончится эта погоня?",01.01.2003,"биографический, драма, криминал",8.72/10
173,Фарго,"Джерри работал в небольшом дилерском магазине своего свекра. Радости ему эта работа не приносила, да и денег тоже. Потому он просто был вынужден потихоньку воровать деньги из кассы. Когда же свекор стал замечать неладное в финансовых счетах, Джерри воспользовался планом ""Б"" по добыче денег - он сымитировал кражу своей жены. То, что сначала должно было стать простой игрой, симуляцией, в жизни превратилось в кошмар. Джерри, сам того не подозревая, начал вести игру без правил. И полилась кровь...",05.04.1996,"драма, криминал, триллер",8.38/10
174,Воин,"Младший сын злоупотребляющего алкоголем бывшего боксера  возвращается домой и с помощью отца готовится к выступлению в крупном турнире  по смешанным единоборствам – турнире, на котором ему предстоит столкнуться со  своим старшим братом. ",09.09.2011,"боевик, драма, спорт",8.35/10
175,Человек-Паук 3: Нет пути домой,"Продолжение истории о Питере Паркере - юноше, случайно ставшим Человеком-Пауком и его подружке ЭмДжей, которым снова придется столкнуться лицом к лицу с коварными врагами.",16.12.2021,"боевик, кинокомикс, приключения, фантастика",7.93/10
176,Гран Торино,"Клинт Иствуд играет ветерана Корейской войны, противостоящего группировке азиатских иммигрантов в пригородах Детройта.",22.01.2009,"боевик, драма, триллер",8.91/10
177,Гарри Поттер и Дары смерти: Часть 2,"Не простое финальное сражение уготовано Гарри Поттеру, ведь ему предстоит противостоять самому Волан-де-Морту. Но для начала надо найти и уничтожить все крестражи...",14.07.2011,"детектив, драма, приключения, фэнтези",8.58/10
178,Малышка на миллион,"Мэгги Фитцжеральд мечтает стать профессиональной боксершей. Помочь ей в этом может только Фрэнки Данн - тренер по боксу, посвятивший этому вида спорта всю свою жизнь.Перед съемками Суэнк тренировала четырехкратная чемпионка мира по кикбоксингу Люсия Рийкер, которая сыграла в фильме роль Билли.",14.01.2005,"драма, спорт",8.80/10
179,Мой сосед Тоторо,"Две девочки, приехавшие в сельскую местность, чтобы быть рядом со своей недомогающей матерью, знакомятся с живущими неподалеку сказочными духами леса.",16.04.1988,"аниме, мультфильм, приключения, семейный, фэнтези",8.52/10
180,Безумный Макс 4: Дорога ярости,"После апокалипсиса Земля представляет собой бескрайнюю пустыню, населенную постоянными безжалостными войнами. Предпочитающий странствовать по пустоши в одиночку, Макс попадает в плен к местному деспотичному правителю по кличке ""Несмертный Джо"". По непредвиденному стечению обстоятельств и, неожиданно для себя, Макс решает помочь женщинам, надумавших сбежать от этого жестокого тирана...",13.05.2015,"боевик, приключения, триллер, фантастика",8.39/10
181,Дети небес,"Али потерял туфли своей младшей сестры Захры. Дети настолько бедны, что теперь девочке придется ходить босиком. Но Али не готов опускать руки. Он отдает сестре свою одну кеду.  Теперь у них одна пара обуви на двоих. Но так не может продолжаться долго, и Али находит способ, который позволит сестре получить заветные туфли.",22.04.1998,"драма, комедия",8.67/10
182,Бен-Гур,"Фильм ""Бен-Гур - это шедевр кинематографа, который стал классикой мирового кино. Фильм рассказывает историю Бена-Гура, еврейского князя, который стал рабом после обвинения в покушении на жизнь римского прокуратора. Но Бен-Гур не сдается и борется за свою свободу. В то же время, он также ищет мести за смерть своей семьи, виновником которой является римский император Тиберий. Фильм ""Бен-Гур"" основан на романе Льюиса Уоллеса, который вышел в 1880 году. Роман был написан в эпоху восстановления после гражданской войны в США и был посвящен теме примирения между Югом и Севером. Кроме того, роман был написан на фоне роста влияния религиозных движений.",10.12.1959,"боевик, драма, исторический, мелодрама, приключения",8.87/10
183,12 лет рабства,"Середина 19-го века. Согласившись на привлекательное предложение о высокооплачиваемой работе, Соломон Нортап в один момент теряет все и оказывается в чудовищном рабстве...",12.12.2013,"биографический, драма, исторический",8.16/10
184,Перед рассветом,"Первый фильм знаменитой трилогии о любви. Молодой американец Джесси (Этан Хоук) знакомится в поезде с привлекательной француженкой Селин (Жюли Дельпи). Между ними пробегает искра первой любви. Джесси и Селин сходят с поезда вместе и проводят в Вене целый день и ночь в разговорах, пытаясь побольше узнать друг о друге. Расставаясь, они договариваются встретиться через полгода...",29.03.1995,"драма, мелодрама",8.40/10
185,Барри Линдон,"18 век, небольшая деревня в Ирландии.Редмонд Барри, мальчишка с фермы, влюбляется в свою кузину Нору Брейди. Когда он узнает о помолвке своей возлюбленной и британца Джона Куина, то вызывает последнего на дуэль. К несчастью для Редмонда, он не просто выиграл дуэль, но и убил подданного Великобритании. Юноша бежит в Дублин. Попав в безвыходное положение, Барри вынужден присоединиться к армии, чтобы добыть денег на пропитание. Вскоре бывший фермер уже участник известной Семилетней войны.Барри меняет английскую армию на прусскую, и вот он уже во Франции, а его сердцем владеет новая избранница - богатая и известная леди Линдон. Вместе с ней Барри возвращается в Ангию, где превращается в опасного и мстительного врага.",18.12.1975,"военный, драма, мелодрама",8.46/10
186,Бегущий по лезвию,"Лос-Анджелес, 2019 год. Бывшего детектива вновь вызывают на работу: он должен уничтожить репликантов, которые, по мнению полиции, стали угрожать человечеству.Фильм снят по мотивам книги Филипа Дика ""Мечтают ли андроиды об электроовцах"", однако режиссер Ридли Скотт специально не читал роман, чтобы не искажать своё видение истории.",25.06.1982,"боевик, драма, нуар, триллер, фантастика",8.40/10
187,"Отель ""Гранд Будапешт""","История о горестях и тревогах невозмутимого консьержа, работающего в одном из отелей Будапешта.",06.02.2014,"комедия, криминал, приключения",8.32/10
188,По соображениям совести,"Военная драма, рассказывающая историю Десмонда Досса - рядового, отказавшегося из-за своих религиозных убеждений убивать людей. Но в дальнейшем, принявшего решение поступить на военную службу как санитар, который спасёт 75 человеческих жизней в жестокой битве за Окинаву.",04.11.2016,"биографический, военный, драма, мелодрама",8.52/10
189,Исчезнувшая,"История о мужчине, который пытается отыскать свою жену, таинственно исчезнувшую накануне юбилея их свадьбы. Экранизация бестселлера американской писательницы Гиллиан Флинн.",02.10.2014,"драма, триллер",8.33/10
190,Общество мертвых поэтов,"Тодд Андерсон был крайне застенчивым юношей. Родители отправили его учиться в колледж, где старший брат Тодда блистал в лучах популярности. Его сожитель, Нил, был так же известен в среде студентов, но он страдал от чрезвычайной консервативности своего отца. Вскоре этих совершенно разных людей объединил новый преподаватель английского языка - профессор Китинг. Он открыл молодым людям тайну общества мертвых поэтов, и призвал их изменить их собственные жизни.",20.07.1989,драма,8.74/10
191,Воспоминания об убийстве,"В корейской деревушке происходит убийство двух женщин. Все указывает на то, что убийство совершенно одним человеком. Детектив Ду Ман Пак и его помощник Ён Гу Чжу пытаются провести расследование дела, но у них не хватает опыта и они терпят фиаско. В конце концов они решают обвинить невиновного человека, но и здесь их ждет неудача. Тогда из Сеула приезжает полицейский Тхэ Ён Со, который должен довести дело до конца.",02.05.2003,"боевик, детектив, драма, криминал, триллер",8.53/10
192,Во имя отца,"Это история Джерри Конлона, мелкого грабителя из Белфаста. Однажды его ловят представители английской полиции и обвиняют в причастности к теракту, подготовленному ИРА. Но ирландец не просто не причастен к гибели людей, у него еще есть и доказательства невиновности.Не смотря на это Джерри получает пожизненный срок. И в течение последующих за этим событием 15ти лет его семья будет бороться за справедливость. ",12.12.1993,"биографический, драма",7.50/10
193,Золотая лихорадка,"Увлекательные приключения Бродяги (Чарли Чаплин), отправившегося  на Клондайк на поиски золота.",13.07.1925,"вестерн, концерт, мелодрама, приключения, семейный",8.33/10
194,Корпорация монстров,"Они монстры. Их работа - по ночам выпрыгивать из дверей шкафа детской комнаты и пугать детей. А что им еще остается? Ведь детский крик и испуг - это энергия, которой питается целый город странных монстров. Но все меняется, когда через случайно оставленную незакрытой дверь в мир страшилищ попадает ребенок...",14.11.2001,"комедия, мультфильм, семейный, фэнтези",8.80/10
195,Дикие истории,Фильм состоит из нескольких историй об оказавшихся не в том месте и не в то время людях.,21.08.2014,"драма, криминал, триллер",8.24/10
196,Охотник на оленей,"Майкл, Стивен и Ник молодые работники завода из Пенсильвании,  поступившие в армию, чтобы воевать во Вьетнаме. Прежде чем ехать, Стивен женится на беременной Ангеле  и после свадьбы организует прощальную вечеринку. Вскоре друзей ждут ужасы Вьетконга, страшная игра в русскую рулетку и надежда на возвращение домой.",22.09.1979,"военный, драма, триллер",8.55/10
197,Паровоз Генерал,"У Джонни в жизни есть две любви - его женщина Аннабель Ли, и его Паровоз ""Генерал"". Хотя нет, не так - его Паровоз ""Генерал"", и уж потом Аннабель Ли. Впрочем, кто его разберет? Не суть, ведь началась Гражданская война! А его не взяли в армию на основании того, что он - хороший инженер и куда полезнее ""на гражданке"", за что Аннабель несправедливо обозвала его трусом. Но самое страное - шпионы-северяне украли его любимого ""Генерала"", на борту которого в это время как раз находилась Аннабель! Так что теперь Джонни предстоит спасти их обоих, невзирая на такие мелочи, как вражеские ружья, пушки и превратности судьбы.Один из самых масштабных немых фильмов в истории кино, с самой дорогой в этом жанре сценой - крушением поезда с последующим обвалом моста через реку; а также одной из крупнейших массовок - в батальной сцене (вызвавшей лесной пожар, который пришлось тушить всей съемочной группой) было задействовано пять сотен солдат орегонской национальной гвардии.",31.12.1926,"боевик, военный, комедия, мелодрама, приключения",9.00/10
198,Шерлок младший,"Киномеханик Китон отчаянно борется за сердце любимой, однако в этом благородном начинании он, увы, не одинок - бесчестный соперник, украв у девушки часы, на вырученные от их продажи деньги покупает ей же подарки. Наш герой начинает расследование, да так им увлекается, что, заснув однажды на работе, во сне отправляется прямо на экран, к персонажам фильма, чтобы вместе с ними поймат вора за руку и завоевать тем самым сердце и руку своей возлюбленной.",27.10.1924,"комедия, фэнтези",8.50/10
199,Челюсти,"Гигантская белая акула вселяет ужас в жителей популярного курорта. Шеф полиции, ученый и опытный охотник на акул собираются убить монстра. Но схватка с акулой будет куда опаснее, чем они предполагают.",07.07.1975,"триллер, ужасы",8.31/10
200,Рататуй,"Реми - это необыкновенный и весьма симпатичный крыс с феноменальным обаянием и вкусом. Он лелеет надежду стать известным шеф-поваром. По счастливой случайности он знакомится с молодым поваренком Лингвини и, скрываясь у него под колпаком на голове, помогает готовить изысканные блюда. Деликатесы приготовленной странной парой пользуются бешеным успехом. Но крысы нравятся не всем, и когда о Реми узнают окружающие, то начинаются проблемы... ",28.06.2007,"детский, комедия, мультфильм, семейный",8.54/10
201,Как приручить дракона,"У викинга Хиккупа Хоррендуса Хэддока III, наследника трона королевства викингов, есть заветная мечта - он хочет стать героем, так как в силу своих личных качеств им не является. Чтобы заслужить уважение соплеменников он отправляется в опаснейшее путешествие, чтобы найти самого страшного, ужасного и громадного дракона, но находит маленькое и практически безобидное существо - ошибку эволюции драконьего рода. Но, быстро подружившись, они вместе отправляются на поиски ратных подвигов, чтобы заслужить почет и уважение своих родных племен. ",18.03.2010,"детский, мультфильм, приключения",8.76/10
202,В порту,"Бывший боец, а ныне простой  портовый грузчик Терри Мэллоу объявляет войну своему коррумпированному  профсоюзному боссу.",24.06.1954,"драма, криминал, мелодрама",7.78/10
203,Мэри и Макс,Мульфильм рассказывает историю очень необычной дружбы между маленькой девочки 8-ми лет Мэри Динкль и Макса Хоровица - одинокого еврея 44-х лет.,09.04.2009,"драма, комедия, мультфильм",7.75/10
204,Плата за страх,"В небольшом городе Латинской Америки, где процветает безработица, четверо мужчин берутся за опасную работу. На одной из нефтяных скважин начинается пожар, который можно потушить только направленным взрывом. И теперь им нужно отвезти туда нитроглицерин, который может взорваться от любого толчка, по дорогам, на которых опасность скрывается за каждым поворотом.",22.04.1953,"драма, приключения, триллер",9.00/10
205,Земляничная поляна,"Профессор Борг из Стокгольма едет на вручение почетной докторской степени в другой город на машине. По пути ему предстоит встретиться с несколькими интересными людьми, оказаться в местах своей юности и в корне пересмотреть свои представления о нравственных ценностях.",06.10.1958,драма,8.80/10
206,Третий человек," Прибыв в Вену, писатель Холли Мартине обнаруживает, что  пригласивший его Гарри Лайм недавно погиб в автомобильной аварии. ",31.08.1949,"детектив, нуар, триллер",7.25/10
207,Ford против Ferrari,Фильм рассказывает реальную историю противостояния автоконцернов Форда и Феррари в знаменитой гонке Ле-Манн в 1966 году.,14.11.2019,"биографический, боевик, драма, спорт",8.48/10
208,Мистер Смит едет в Вашингтон,"Наивный мужчина получает должность в сенате США. Его план ""все сделать правильно"" тут же наталкивается на сопротивление нечистых на руку политиков, однако сдаваться без боя он не намерен.",25.12.1939,"драма, комедия",8.67/10
209,Токийская повесть,Пожилая супружеская пара из небольшого провинциального города отправляется в Токио в гости к своим детям. У детей уже своя жизнь и у них почти нет времени на общение с родителями...,03.11.1953,драма,8.50/10
210,Логан,"2029 год. Вот уже больше двадцати лет на Земле не рождается ни один мутант. Постаревший и разочарованный Логан старается вести тихую и неприметную жизнь, пока однажды ему случайно не встречается девочка-мутант, за которой охотится целая команда вооруженных наёмников. Он встает на её защиту и пытается ей помочь.",02.03.2017,"боевик, драма, кинокомикс, триллер, фантастика",8.51/10
211,Рокки,"Рокки Бальбоа работает на мясном заводе за смешные деньги. Его мечта - выйти на большой ринг и стать участником настоящего поединка. И тут в Филадельфию приезжает боксер тяжелого веса. Организаторы поединка решают показать показательный бой, для участия в котором им нужен боксе6р из простых. Рокки думает, что его шанс пробиться в мир спорта. Но ему никто не сказал, что по сценарию он должен будет проиграть.",01.01.1977,"боевик, спорт",8.73/10
212,Большой Лебовски,"Обычный парень Лебовски по прозвищу «чувак», по ошибке принятый за своего однофамильца миллионера, желает получить компенсацию за испорченный гангстерами ковер.",06.03.1998,"комедия, криминал",8.50/10
213,Седьмая печать,"Середина XIV века. Рыцарь Антониус Блок, в сопровождении оруженосца Йонса, после десяти лет крестовых походов возвращаются на родину, в Швецию. На берегу их встречает Смерть, которой рыцарь предлагает сыграть в шахматы на собственную жизнь. Однако партию прерывает пробуждение оруженосца. Дальнейший путь через прокаженную чумой и пороком страну раз за разом возвращает рыцаря к игре со Смертью.Фильм, наполненный размышлениями о бытие и смысле существования, сделавший из режиссера Ингмара Бергмана звезду мирового класса.",16.02.1957,"драма, фэнтези",8.52/10
214,Комната,Современный рассказ о безграничной любви между матерью и ребенком. Молодую девушку по имени Джой Ньюсом похитили и заперли в небольшую комнату много лет назад. В неволе она родила сына Джека. Вместе они уже 5 лет и кроме этой комнаты в своей жизни он больше ничего не видел. Но так не может продолжаться вечно...,04.09.2015,"драма, триллер",8.20/10
215,В центре внимания,"Реальная история, в основу которой легло расследование проводимое журналистами газеты  The Boston Globe. Ими было обнаружено, что ряд бостонских священников много лет совращали малолетних, а их верховное духовенство всячески их покрывало. Все это переросло в глобальный скандал.",07.01.2016,"биографический, драма, исторический, триллер",8.07/10
216,Терминатор,"Первая серия знаменитой кинофраншизы ""Терминатор"". Компьютерная система ""Скайнет"", захватившая власть над миром в недалеком будущем, посылает в прошлое киборга с заданием убить Сару Коннор, мать человека, который может привести людей к победе над восставшими машинами. Сопротивлению удается послать защитника.",26.10.1984,"боевик, триллер, фантастика",9.00/10
217,"Отель ""Руанда""","Десять лет назад, события, которые было страшно даже вообразить, произошли в Руанде. В эпоху мобильной связи, круглосуточных новостей, абсолютной коммуникации всех стран - оно осталось совершенно незамеченным. Тогда, в течение трех месяцев, было убито более миллиона человек. И тогда, когда вокруг было одно зверство, один человек решился помочь. Он открыл двери своего отеля для беженцев и смог спасти тысячи жизней. ",20.01.2005,"военный, драма, исторический",8.00/10
218,Взвод,"Молодой человек служит во Вьетнаме и переживает все ужасы войны. Вскоре в его взводе начинается конфликт, что делает войну еще более ужасной.",19.02.1987,"боевик, военный, драма",8.85/10
219,Ненависть,"Молодой хулиган Абдель попадает в больницу после участия в  погроме, во время которого один из полицейских теряет свой пистолет. Его лучший  друг находит потерянный пистолет и клянется убить полицейского, если Абдель  умрет.",31.05.1995,"драма, криминал",7.57/10
220,Пираты Карибского моря: Проклятие Черной жемчужины,"Команда корабля-призрака ""Черная жемчужина"" похищает дочь губернатора Элизабет, так как только ее медальон в силах разрушить злое проклятие, превратившее моряков в живых мертвецов. Влюбленный в нее кузнец Уилл и пират Джек Воробей отправляются в погоню - один, чтобы вернуть любовь, а другой - вернуть корабль...Переплывая как-то после ночной съемки с одного карибского острова на другой, лодка с Кирой Найтли налетела на риф и потонула. Актрису и лодочника спасли лишь несколько часов спустя.",09.07.2003,"боевик, драма, комедия, мелодрама, приключения, семейный, фэнтези",9.07/10
221,Перед закатом," Джесси, писатель из США, и Селин, француженка, работающей в организации по защите окружающей среды,  встретились девять лет назад, на поезде идущем из Будапешта в Вену. И вот, спустя столько лет, когда Джесси приезжает в Париж на чтение своей новой книги, они вновь встретились. У него уже есть жена, ребенок. Да и у нее совсем другая жизнь. У них вместе всего несколько часов до отлета его самолета. ",17.06.2004,"драма, мелодрама",8.00/10
222,Страсти Жанны д`Арк,"Хроника суда над Жаной д`Арк по обвинению в ереси. Церковные судьи пытаются вынудить Жанну отречься от ее заявлений о ""святых видениях"".",21.04.1928,"биографический, драма, исторический",8.50/10
223,Да прольется свет,"Когда мужчину из беднейшего племени арестовывают за кражу, его жена, не раздумывая, обращается к юристу по правам человека, потому что всем давно известно, что таким образом силовые структуры списывают нераскрытые дела. Адвокат берется за это дело, но чем сильно он погружается в процесс, тем сильнее ему противостоит полностью коррумпированная местная машина правосудия...",01.11.2021,"детектив, драма, криминал",7.00/10
224,Лучшие годы нашей жизни," Три ветерана Второй мировой войны возвращаются домой в  небольшой американский городок, обнаруживая, что они сами и их семьи необратимо  изменились. ",21.11.1946,"военный, драма, мелодрама",8.50/10
225,Изгоняющий дьявола,"В 12-летнюю девочку вселился дьявол. Врачи бессильны что-либо сделать, и тогда за дело берется священник.""Изгоняющий дьявола"" считается одним из самых страшных фильмов в истории кинематографа. В 1973 году во время просмотра картины некоторым зрителям становилось плохо, поэтому около кинотеатров во время сенасов всегда дежурили машины ""скорой помощи"".",26.12.1973,"драма, триллер, ужасы",8.50/10
226,Гонка,Фильм основан на реальных событиях произошедших в 1976 году на трассе Формулы 1 Гран-При Германии. Противоборство Ники Лауда и Джеймса Ханта в тот уикенд чуть не привело к трагедии...,12.09.2013,"биографический, боевик, драма, спорт",8.45/10
227,Суперсемейка,"Глава суперсемейки Боб и его жена Хелен - одни из самых известных горожан, популярные борцы с несправедливостью и беззаконием. Борьба за жизнь, борьба со злом - для них это чуть ли не ежедневная рутина. Но однажды пришел момент уйти в отставку, переехать в  пригород и начать вести образ жизни, свойственный самым типичным представителям среднего класса. А причиной тому были дети - трое смышленых и совершенно разных отпрысков.  Но Бобу всегда не терпелось вернуться на тропу войны с несправедливостью. И как только такая возможность представилась, он слинял. Правда он не учел, что теперь он рискует не только собой, но и своей семьей. ",05.11.2004,"боевик, детский, комедия, мультфильм, приключения, семейный, фэнтези",8.54/10
228,Телесеть,"Четвертый канал борется за зрителя, теперь даже новости становятся скорее развлекательным шоу, где главное - зрелище. И когда рейтинги Говарда Билла, телеведущего, начинают падать, он находится на грани нервного срыва. В прямом эфире он объявляет о готовности покончить жизнь самоубийством. И вскоре он переживает бешеный скачок популярности. Теперь сумасшедший Билл становится чуть ли не иконой телевидения, он получает собственное шоу, где он откровенен со зрителем, как никто. Но эта чрезмерная искренность «пророка в прямом эфире"" становится серьезной проблемой для начальства телеканала.",29.01.1977,драма,8.33/10
229,Волшебник страны Оз,Фильм снят по мотивам знаменитого произведения Фрэнка Баума.,25.08.1939,"приключения, фэнтези",7.38/10
230,Останься со мной,"Четверо друзей отправились на поиски убитого тинэйджера, их ровесника. Но вскоре они понимают, что кроме них убитого ищет местная банда старшеклассников.",04.11.1986,"драма, приключения",7.69/10
